Smiles,Boiling_point_K
CC(C)=C/C=C/C,376.7626383
CC(C)=C1CCC1,375.6369954
CC(C)=C=C(C)C,369.4259868
CC(C)=C=CCC,366.1922236
CC(C)=CC,312.4177389
CC(C)=CC(C)(C)C,379.3477334
CC(C)=CC(C)C,359.9151811
CC(C)=CC=CC,376.7626383
CC(C)=CCC,341.4365169
CC(C)=CCCC,368.2848544
CC(C)C,268.3646629
CC(C)C(C)(C)CO,422.474512
CC(C)C(C)C,329.0662319
CC(C)C(C)C(C)C,383.5337226
CC(C)C(C)CC,356.3012393
CC(C)C(C)CC(C)C,408.3565111
CC(C)C(C)CCC,385.9954743
CC(C)C(C)CCCC,410.8752705
CC(C)C(C)CCO,434.6218476
CC(C)C(C)COC,397.6787488
CC(C)C(CC)CC,385.9954743
CC(C)C(CC)CCCC,433.6148596
CC(C)C(CC)CO,438.9492126
CC(C)C(O)(C)CC,424.7314399
CC(C)C(O)C(C)C,433.0020112
CC(C)C(O)CCC,429.2917535
CC(C)C(OC)CC,384.7123966
CC(C)C=CCC,357.9007628
CC(C)CC(C)C,353.644
CC(C)CC(C)CC,385.9954743
CC(C)CC(C)CCC,410.8752705
CC(C)CC(C)CO,434.082584
CC(C)CC1CC1,363.1670889
CC(C)CCC,331.8178063
CC(C)CCC(C)C,385.9954743
CC(C)CCC(C)CC,410.8752705
CC(C)CCC(C)CCCC,454.4507546
CC(C)CCCC,361.9345361
CC(C)CCCC(C)C,410.8752705
CC(C)CCCC(C)CC,433.6148596
CC(C)CCCC(C)CCC,454.4507546
CC(C)CCCCC,391.1218515
CC(C)CCCCC(C)C,433.6148596
CC(C)CCCCCC,416.198313
CC(C)CCCCCCC,439.3094501
CC(C)CCCCCCCC,460.6616564
CC(C)CCCCCCCCC,480.4629759
CC(C)CCCCO,436.6762841
CC(C)CCCOC,395.9424313
CC(C)CCOCC,393.1166322
CC(C)COCCC,393.7774217
CC(C1=CC=C(C)C=C1)C,453.1543228
CC(C1=CC=CC=C1)C,424.9523695
CC(C1=CC=CC=C1C)C,445.0348601
CC(C1CC1)=CC,369.0068308
CC(C1CC1)CC,360.7686136
CC(C1CCC1)C,367.4383221
CC(C1CCCC1)C,399.0649901
CC(O)(C)C(C)(C)C,410.7436415
CC(O)(C)C(C)CC,420.9177027
CC(O)(C)CC(C)C,417.141601
CC(O)(C)CCCC,418.7799654
CC(O)C(C)(C)CC,419.6042011
CC(O)C(C)C(C)C,417.756996
CC(O)C(C)CCC,425.6953948
CC(O)C(CC)CC,427.774906
CC(O)CC(C)(C)C,418.517992
CC(O)CC(C)CC,425.4186436
CC(O)CCC(C)C,427.807822
CC(O)CCCCC,433.4899514
CC(OC(C)(C)C)C,356.4151561
CC(OC(C)(CC(C)C)C)(CC(C)C)C,487.2547319
CC(OC(C)CC)C,357.8819181
CC(OC(CC(C)(C)C)C)CC(C)(C)C,492.0589094
CC(OC)CC(C)C,382.013886
CC(OC)CCCC,384.1281599
CC(OCC)CCC,379.0358145
CC(OCCC)(C)C,373.3204342
CC(OCCC)CC,380.959766
CC([C@@H]1[C@H](C)C1)C,357.7455503
CC/C(C)=C/CC,369.0060476
