Smiles,?Hc°(KJ/kg)
CCC[C@@H]1[C@H](C)C1,43506.53078
CC[C@@H]1[C@H](C)CCC1,43456.84353499999
CC[C@@H]1[C@H](CC)C1,43380.77647
CC[C@H]1[C@H](C)CCC1,43456.84353499999
CC[C@H]1[C@H](CC)C1,43380.77647
C[C@@H]1CC(C)CC1,43307.50497
C[C@@H]1C[C@@H](C)CC1,43307.50497
C[C@@H]1C[C@H](C)CC1,43392.66701
C[C@@H]1C[C@H](C)CCC1,43156.636889999994
C[C@@H]1C[C@H](CC)CC1,43439.25498
C[C@@H]1[C@@H](C)C=CC1,42665.3495
C[C@@H]1[C@@H](C)CCC1,43170.54579
C[C@@H]1[C@H](C)CCC1,43347.01394999999
C[C@@H]1[C@H](C)CCCC1,43156.636889999994
C[C@H](O)CCCCC,37093.40994
C[C@H]1CC(C)CC1,43307.50497
C[C@H]1CC[C@H](C)CC1,43156.636889999994
C[C@H]1C[C@H](C)CC1,43307.50497
C[C@H]1C[C@H](C)CCC1,43137.63217
C[C@H]1C[C@H](CC)CC1,43474.432089999995
C[C@H]1[C@H](C)CCC1,43347.01394999999
C[C@H]1[C@H](C)CCCC1,43174.10394
O=C(C)CC(C)C,34387.106380000005
