NO.,Compound,Smiles,RON,MON,YSI,?Hc°(KJ/L),?Hc°(KJ/kg),RVP(kPa),Density (g/mL),Boiling Point (K)
101,"Hepta-1,3,6-triene",C=CC=CCC=C,130.8650313,101.2636178,88.69188453,34202.63784,43390.2967,9.337660215,0.78825545,382.2342198
102,"1,3-Cyclopentadiene, 5,5-dimethyl-",CC1(C)C=CC=C1,133.9502789,96.63319793,56.38521321,32072.9607,41186.00744,0.03,0.778734398,371.802394
103,"1,2-Dimethylcyclopentadiene",CC1=C(C)CC=C1,122.8277864,81.54445813,117.5382628,36073.16458,43295.29967,19.0725901,0.833188934,382.3480043
104,"1,4-Cycloheptadiene",C1=CCC=CCC1,101.7089912,111.5219064,115.4355314,35651.6866,42661.58209,4.769968112,0.835685993,371.2581905
105,"Cyclohexene, 4-methylene-",C=C1CC=CCC1,122.818423,114.5038899,114.710645,37911.38566,42769.49395,17.4586883,0.886411836,377.6706161
106,3-Ethylpent-3-en-1-yne,C#CC(CC)=CC,113.901534,135.9583489,146.4760985,33223.49921,43615.19899,10.6272219,0.761741319,383.8497436
107,"Hepta-1,3,5-triene",C=CC=CC=CC,129.2908731,104.7771325,88.79449572,33458.42423,42548.67065,6.328724259,0.786356512,393.567648
108,"5-Methyl-1,3-cyclohexadiene",CC1C=CC=CC1,116.2467515,92.4735248,94.21595782,33468.75395,41884.94858,18.63190822,0.799063986,372.7602927
109,"Cyclopentane,1,2-bis(methylene)-",C=C(CCC1)C1=C,140.6104689,106.5182016,107.4719449,39672.66722,42473.39477,16.05979053,0.934059249,382.4679091
110,3-Ethylidenecyclopentene,CC=C1C=CCC1,118.5873189,85.52686568,105.8531284,35617.10844,42903.95792,16.4451359,0.830159038,379.5814289
111,2-Methyl-1-hexen-3-yne,C=C(C)C#CCC,122.5492224,99.18080061,205.3249899,32035.59537,42643.56291,3.073482977,0.751241059,386.5076123
112,"1,4-Pentadiene, 3-ethenyl-",C=CC(C=C)C=C,158.4124088,42.92298851,52.96074585,32440.22605,40488.03319,14.04787926,0.801229981,356.1456356
113,"1,2,4-Pentatriene, 3,4-dimethyl-",C=C=C(C)C(C)=C,103.4228674,97.48628801,125.0906011,35691.09765,44705.22941,20.36218646,0.798365161,377.4993339
114,"1,3,5-Hexatriene, 2-methyl-, (Z)-",C=C(C)/C=C\C=C,136.7106185,122.1477128,127.6143646,34524.98851,42323.85842,10.72727952,0.815733485,389.9017784
115,"Cyclopropane, (1-methyl-1,2-propadienyl)-",C=C=C(C1CC1)C,117.0093322,92.3417805,64.69200752,34751.92311,42977.03707,44.84555945,0.808616077,368.7714775
116,"Cyclopropene, 3-methyl-3-isopropenyl-",C=C(C1(C)C=C1)C,136.9302096,87.07847269,52.78711852,34000.67905,42046.14135,0.03,0.80865159,373.3499823
117,"3-Ethylidene-1,4-pentadiene",C=CC(C=C)=CC,138.7915896,130.4680013,133.4391496,34964.94515,42062.60012,9.318464118,0.831259719,389.9647831
118,3-Methylenecyclohexene,C=C1C=CCCC1,132.3257759,101.9446,98.81471279,37102.58633,42500.60716,18.35392093,0.87298956,382.4547052
119,1-Hepten-3-yne,C=CC#CCCC,113.5950645,64.59292332,178.051906,31394.9606,42547.97645,3.366411651,0.737872003,383.116483
120,"1,4-Cyclohexadiene, 6-methyl",CC1C=CCC=C1,102.5123709,91.1616057,100.9451232,33112.24671,41541.42904,0.03,0.797089736,366.5396261
121,Ethylcyclopentadiene,CCC1=CC=CC1,118.6876936,95.26413881,106.0033534,34609.94243,42603.38204,12.89148174,0.812375468,382.3750957
122,"1,3-Cyclopentadiene, 2-ethyl",CCC1=CCC=C1,116.8830449,99.44367088,116.0979765,35706.15989,42985.97517,13.97914832,0.830646734,377.0749709
123,1-Hepten-6-yne,C=CCCCC#C,80.76228594,78.58351996,56.58382645,33703.69461,44443.30185,10.08268657,0.758352625,367.1325175
124,3-Hepten-1-yne,C#CC=CCCC,131.1950497,110.6238062,109.4718936,32491.45069,43208.48639,7.346627546,0.751969194,384.2656754
125,3-Vinyl-1-cyclopentene,C=CC1C=CCC1,100.3041634,74.99574656,70.86497896,33433.52303,41957.787,23.78745038,0.796837141,368.9237232
126,"Cyclopentane, 1,3-bis(methylene)-",C=C(CC1)CC1=C,130.0114816,128.8309001,122.201957,40792.78993,42778.29347,15.36507387,0.953586191,377.6258525
127,"(1S,2S)-1,2-Bis(ethenyl)cyclopropane",C=C[C@H]1[C@H](C=C)C1,77.71684959,75.139689,49.90299417,32128.24184,41111.02177,38.67474609,0.781499473,357.912283
128,"1,3,6-Heptatriene",C=CC=CCC=C,130.8650313,101.2636178,88.69188453,34202.63784,43390.2967,9.337660215,0.78825545,382.2342198
129,"1,3,5-Heptatriene",C=CC=CC=CC,129.2908731,104.7771325,88.79449572,33458.42423,42548.67065,6.328724259,0.786356512,393.567648
130,"2-Methyl-1,3,5-hexatriene",C=C(C)C=CC=C,136.7106185,122.1477128,127.6143646,34524.98851,42323.85842,10.72727952,0.815733485,389.9017784
131,5-Methylhex-3-en-1-yne,C#CC=CC(C)C,134.961918,138.739239,121.4103997,31842.13945,42434.84375,24.18183966,0.750377205,377.5344986
132,"Cyclobutane, 1-propenylidene-",CC=C=C1CCC1,119.1957169,122.4101329,51.26890719,36312.37029,44394.22656,14.76419155,0.817952538,375.7509581
133,"1,3-Dimethylcyclopentadiene",CC1=CCC(C)=C1,122.6989632,84.39787876,117.3621738,36058.05836,43288.70591,19.10034626,0.832966881,382.3621686
134,1-Ethenylcyclopent-1-ene,C=CC1=CCCC1,132.8948762,97.96707828,88.20477121,37193.59264,42572.61472,15.42616363,0.873650653,384.1467442
135,4-Methylcyclohexene,CC1CC=CCC1,98.50812176,76.53539363,60.65822765,34487.01073,43395.38215,16.29466952,0.794716143,367.7817818
136,3-Methylcyclohexene,CC1C=CCCC1,98.96452769,76.93473934,59.92046939,34476.23347,43387.25113,16.38628975,0.794616681,367.777565
