RON_Molecules,Experiment,SMILES
"1,4-Cyclohexadiene",75.4,C1=CCC=CC1
"1-Methyl-1,4-cyclohexadiene",75,CC1=CCC=CC1
4-Methyl-1-pentyne,91.3,CC(CC#C)C
4-Octene (trans),73.3,CCC/C=C/CCC
"2,4,4-Trimethyl-1-pentene",106,CC(=C)CC(C)(C)C
"2,5-Dimethyl-1,5-hexadiene",90.2,CC(=C)CCC(=C)C
PROPENE,101.3,CC=C
4-Methyl-1-pentene,95.7,C=CCC(C)C
4-Methyl-2-pentene (cis),99.7,C/C=C\C(C)C
2-Methylbutane,92.3,CCC(C)C
3-Methylpentane,74.5,CCC(CC)C
3-Methylheptane,26.8,CCCCC(CC)C
3-Ethylhexane,33.5,CCCC(CC)CC
2-Methyl-3-ethylpentane,87.3,CCC(C(C)C)CC
"2,4-Dimethyl-3-ethylpentane",105.3,CCC(C(C)C)C(C)C
2-Methyldecane,0,CCCCCCCCC(C)C
ISOPROPANOL,106,CC(O)C
2-METHYL-2-BUTANOL,97,CCC(O)(C)C
2-Methyltetrahydrofuran,86,CC1CCCO1
Methyl Pentanoate,105,CCCCC(=O)OC
"2,5-dimethylfuran",119,Cc1ccc(o1)C
"1,1,3-Trimethylcyclopentane",87.7,CC1CCC(C1)(C)C
"1,3-Dimethylcyclohexane (trans)",66.9,[C@@H]1(C)CCC[C@H](C1)C
3-Octene (trans),72.5,CCCC/C=C/CC
iso-Butylcyclohexane,33.7,CC(CC1CCCCC1)C
N-BUTANOL,98,CCCCO
"2,5-Dimethyl-2,4-hexadiene",94.3,CC(=CC=C(C)C)C
n-Propylcyclopentane,31.2,CCCC1CCCC1
2-Butyne,85.9,CC#CC
n-Butylcyclopentane,-3,CCCCC1CCCC1
"cis,cis,trans-1,2,3-trimethylcyclohexane",86.2,CC1[C@H](C)CCC[C@H]1C
tert-Butylbenzene,115.5,CC(c1ccccc1)(C)C
3-Ethylpentane,65,CCC(CC)CC
?-Valerolactone,100,CC1CCC(=O)O1
1-Ethylcyclopentene,90.3,CCC1=CCCC1
sec-Butylbenzene,106.8,CCC(c1ccccc1)C
iso-Butane,100.3,CC(C)C
3-Heptene (trans),89.8,CCC/C=C/CC
1-Butene,97.4,CCC=C
3-Ethyl-2-pentene,93.7,CCC(=CC)CC
3-Ethyl-1-pentene,95.6,CCC(C=C)CC
ISOBUTANOL,105,OCC(C)C
2-Butene (cis),100,C/C=C\C
6-Methyl-1-heptene,63.6,C=CCCCC(C)C
"2,3,3-Trimethyl-1-butene",105.3,CC(=C)C(C)(C)C
"1,4-Dimethyl-2-ethylbenzene",106,CCc1cc(C)ccc1C
"3,4-Dimethyl-1-pentene",98.9,C=CC(C(C)C)C
5-Methyl-1-hexene,75.5,C=CCCC(C)C
"2,4,4-Trimethyl-2-pentene",103.5,CC(=CC(C)(C)C)C
Methylcyclohexane,74.8,CC1CCCCC1
"4,4-Dimethyl-1-pentene",104.4,C=CCC(C)(C)C
Vinylcyclopentane,69.3,C=CC1CCCC1
"2,2-Dimethylbutane ",91.8,CCC(C)(C)C
"1,3-Dimethylcyclopentane (trans)",80.6,[C@@H]1(C)CC[C@H](C1)C
2-Octene,56.3,CCCCCC=CC
Indene,113.7,c1ccc2c(c1)C=CC2
"3,3-Diethylpentane",84,CCC(CC)(CC)CC
"1,2-Dimethyl-3-ethylbenzene",104.4,CCc1cccc(c1C)C
2-Methyl-1-pentene,94.2,CCCC(=C)C
"2,4-Dimethyl-1-pentene",99.2,CC(CC(=C)C)C
"2,5-Dimethyl-2-hexene",95.2,CC(CC=C(C)C)C
"2,3-Dimethyl-1-hexene",96.3,CCCC(C(=C)C)C
"2,4-Dimethylpentane",83.1,CC(CC(C)C)C
