RON_Molecules_x,ZM2V,IC1,SPAN,RDF020m,Mor03u,Mor16m,Mor31m,Mor29v,Mor10p,nCp,ALOGP2,ALOGPS_logS,Data Set,Predicted,Absolute  Error,SMILES,RON_Molecules_y,Experiment
1-Methyl-2-isopropylbenzene,1.963,1.322,-0.019,-0.17,0.302,1.436,-0.649,1.162,-0.553,0.484,0.682,-0.567,Training,111.06,5.06,CC(c1ccccc1C)C,1-Methyl-2-isopropylbenzene,106
Propenylbenzene (trans),1.745,1.287,1.058,0.017,0.995,1.011,-1.899,1.066,-0.198,-1.034,-0.359,-0.196,Training,111.15,6.75,C/C=C/c1ccccc1,Propenylbenzene (trans),104.4
2-Phenylpropene,1.92,1.287,-0.026,0.017,1.521,1.734,-1.688,1.355,-0.701,-1.034,-0.302,0.465,Training,109.5,3.6,CC(=C)c1ccccc1,2-Phenylpropene,113.1
1-Phenyl-2-methylpropene,2.094,1.472,0.777,0.31,1.246,1.121,-0.931,0.317,-0.31,-0.275,0.252,0.257,Training,104.06,1.24,CC(=Cc1ccccc1)C,1-Phenyl-2-methylpropene,105.3
"1,3,5-Trimethylcyclohexane (cis)",0.041,-0.839,-0.25,-0.024,-1.78,-0.711,0.865,0.852,0.716,0.484,0.653,-0.99,Training,69.77,10.67,CC1C[C@H](C)C[C@@H](C1)C,"1,3,5-Trimethylcyclohexane (cis)",59.1
Cycloheptane,-0.702,-2.082,-1.26,1.434,-0.279,-0.287,0.055,-0.229,0.383,-1.793,0.198,-0.597,Training,58.73,20.63,C1CCCCCC1,Cycloheptane,38.1
Cyclopentylcyclopentane,0.565,-1.424,0.319,-0.83,-2.089,-3.628,0.566,-3.387,4.845,-1.793,1.131,-1.421,Training,40.26,30.56,C1CCC(C1)C1CCCC1,Cyclopentylcyclopentane,9.7
2-Ethylbicyclo(2.2.1)heptane,0.565,-0.881,0.263,-1.139,-1.264,-3.408,-0.579,-1.514,2.821,-1.034,0.094,-0.797,Training,58.43,6.53,CCC1CC2CC1CC2,2-Ethylbicyclo(2.2.1)heptane,51.9
"1,2-Dimethylcyclopropane (cis)",-0.746,-0.888,-1.296,-1.563,0.938,0.649,-0.068,-0.957,1.183,-0.275,-1.325,0.688,Training,106.69,2.29,[C@@H]1(C)C[C@@H]1C,"1,2-Dimethylcyclopropane (cis)",104.4
"1,3-Dimethylcyclopentane (cis)",-0.44,-0.862,-0.506,-1.017,-0.504,-1.45,0.213,-1.257,2.034,-0.275,-0.358,-0.374,Training,81.38,2.18,[C@@H]1(C)CC[C@@H](C1)C,"1,3-Dimethylcyclopentane (cis)",79.2
"1,1,2,4-Tetramethylcyclopentan",0.346,-0.644,-0.092,-0.708,-0.623,-2.417,0.407,-1.417,1.215,1.243,0.27,-0.894,Training,87.88,8.32,CC1CC(C(C1)(C)C)C,"1,1,2,4-Tetramethylcyclopentan",96.2
Allylcyclopentane,-0.091,0.812,0.813,0.18,-0.508,-1.144,-0.244,-1.685,2.115,-1.793,0.001,-0.626,Training,69.23,17.13,C=CCC1CCCC1,Allylcyclopentane,52.1
